system:time_start,ndgi
"Jan 1, 2015",-0.031
"Jan 9, 2015",-0.036
"Jan 17, 2015",-0.032
"Jan 25, 2015",-0.018
"Feb 2, 2015",0.01
"Feb 10, 2015",-0.042
"Feb 18, 2015",0.002
"Feb 26, 2015",-0.028
"Mar 6, 2015",-0.023
"Mar 14, 2015",-0.012
"Mar 22, 2015",-0.043
"Mar 30, 2015",-0.054
"Apr 7, 2015",-0.061
"Apr 15, 2015",-0.064
"Apr 23, 2015",-0.092
"May 1, 2015",-0.098
"May 9, 2015",-0.094
"May 17, 2015",-0.097
"May 25, 2015",-0.099
"Jun 2, 2015",-0.11
"Jun 10, 2015",-0.105
"Jun 18, 2015",-0.104
"Jun 26, 2015",-0.089
"Jul 4, 2015",-0.071
"Jul 12, 2015",-0.067
"Jul 20, 2015",-0.058
"Jul 28, 2015",-0.022
"Aug 5, 2015",-0.019
"Aug 13, 2015",0.031
"Aug 21, 2015",0.016
"Aug 29, 2015",-0.03
"Sep 6, 2015",-0.023
"Sep 14, 2015",-0.049
"Sep 22, 2015",-0.036
"Sep 30, 2015",-0.079
"Oct 8, 2015",-0.115
"Oct 16, 2015",-0.109
"Oct 24, 2015",-0.097
"Nov 1, 2015",-0.06
"Nov 9, 2015",-0.098
"Nov 17, 2015",-0.118
"Nov 25, 2015",-0.079
"Dec 3, 2015",-0.074
"Dec 11, 2015",-0.081
"Dec 19, 2015",-0.091
"Dec 27, 2015",-0.046
