system:time_start,ndwi
"Jan 1, 2015",-0.318
"Jan 9, 2015",-0.359
"Jan 17, 2015",-0.375
"Jan 25, 2015",-0.446
"Feb 2, 2015",-0.497
"Feb 10, 2015",-0.381
"Feb 18, 2015",-0.458
"Feb 26, 2015",-0.436
"Mar 6, 2015",-0.415
"Mar 14, 2015",-0.462
"Mar 22, 2015",-0.414
"Mar 30, 2015",-0.348
"Apr 7, 2015",-0.326
"Apr 15, 2015",-0.287
"Apr 23, 2015",-0.279
"May 1, 2015",-0.275
"May 9, 2015",-0.251
"May 17, 2015",-0.243
"May 25, 2015",-0.243
"Jun 2, 2015",-0.257
"Jun 10, 2015",-0.241
"Jun 18, 2015",-0.239
"Jun 26, 2015",-0.234
"Jul 4, 2015",-0.181
"Jul 12, 2015",-0.264
"Jul 20, 2015",-0.277
"Jul 28, 2015",-0.4
"Aug 5, 2015",-0.362
"Aug 13, 2015",-0.488
"Aug 21, 2015",-0.52
"Aug 29, 2015",-0.449
"Sep 6, 2015",-0.444
"Sep 14, 2015",-0.414
"Sep 22, 2015",-0.375
"Sep 30, 2015",-0.323
"Oct 8, 2015",-0.289
"Oct 16, 2015",-0.278
"Oct 24, 2015",-0.262
"Nov 1, 2015",-0.181
"Nov 9, 2015",-0.247
"Nov 17, 2015",-0.261
"Nov 25, 2015",-0.226
"Dec 3, 2015",-0.3
"Dec 11, 2015",-0.25
"Dec 19, 2015",-0.279
"Dec 27, 2015",-0.359
